0;-74;166;950;6;-16;18;-204;355;-822;32;0
100;-14;204;992;1;-7;3;-110;-213;-836;32;99
200;1;212;991;6;-3;0;-93;-182;-853;32;199
300;-5;219;1013;7;-11;2;-83;-179;-850;32;299
400;-14;233;983;8;-8;-1;-77;-186;-871;32;398
500;53;296;1042;12;-10;7;-77;-159;-850;32;498
600;58;284;940;10;-3;3;-36;-145;-857;32;598
700;76;249;916;3;0;3;-46;-149;-867;32;698
800;9;314;893;9;1;7;-60;-155;-853;32;797
900;-7;334;994;12;-2;-1;-43;-145;-857;32;897
1000;95;303;963;12;0;5;-33;-149;-860;32;997
1100;128;311;985;8;-1;-4;-26;-142;-832;32;1097
1200;100;346;986;43;-21;-6;-20;-149;-846;33;1196
1300;108;428;920;63;-39;-6;13;-135;-867;33;1296
1400;155;386;845;81;-38;-21;33;-142;-839;33;1396
1500;150;612;804;13;10;-6;70;-105;-815;32;1496
1600;192;562;757;-6;4;-17;83;-105;-815;32;1595
1700;120;534;800;-5;12;3;67;-142;-797;32;1695
1800;76;710;1012;-5;17;-32;43;-111;-815;32;1795
1900;42;708;786;36;27;-85;46;-149;-818;32;1894
2000;-186;562;670;-2;22;-58;13;-203;-776;32;1994
2100;26;548;1192;56;-25;18;-16;-247;-737;32;2094
2200;102;378;688;-25;12;14;26;-243;-733;32;2194
2300;-96;612;782;-14;4;-8;30;-233;-751;32;2293
2400;-122;836;906;-13;5;-20;23;-220;-744;32;2393
2500;48;444;760;5;20;-27;-6;-257;-762;32;2493
2600;-400;352;650;-44;5;23;-53;-277;-733;32;2593
2700;-344;566;828;21;33;-72;-60;-284;-733;32;2692
2800;-318;606;844;8;-3;0;-97;-308;-737;32;2792
2900;-284;590;720;15;-32;29;-77;-315;-702;32;2892
3000;-262;726;806;-16;-26;27;-67;-311;-712;32;2992
3100;-194;562;798;-6;-7;7;-40;-271;-712;32;3091
3200;-160;536;828;-25;-4;20;-26;-257;-755;32;3191
3300;-56;8;874;-111;24;-55;-33;-250;-733;33;3291
3400;-328;470;966;-3;14;-35;-60;-257;-726;32;3391
3500;-252;446;898;-13;-3;-2;-87;-277;-733;33;3490
3600;-106;374;950;-16;-10;21;-107;-298;-740;33;3590
3700;-126;410;922;-9;-24;18;-110;-287;-744;33;3690
3800;-122;341;973;3;-23;27;-110;-267;-765;33;3789
3900;-60;400;940;4;6;-27;-117;-233;-807;33;3889
4000;-196;434;916;7;-4;-13;-120;-243;-783;33;3989
4100;-108;363;847;8;-5;-20;-140;-257;-790;33;4089
4200;-69;406;899;13;-14;-8;-140;-250;-783;33;4188
4300;-111;416;801;-4;-21;-1;-154;-264;-804;33;4288
4400;-106;370;839;-11;-23;27;-137;-254;-800;33;4388
4500;-88;440;1040;-20;-6;10;-140;-230;-825;33;4488
4600;35;361;1044;-1;16;-18;-160;-216;-818;33;4587
4700;-64;204;896;-8;-3;10;-201;-237;-832;33;4687
4800;27;244;991;-20;-13;5;-194;-237;-811;33;4787
4900;24;287;954;-12;-7;-18;-204;-220;-807;33;4887
5000;-16;262;925;0;-9;-13;-224;-213;-836;33;4986
5100;73;250;991;0;-12;-19;-217;-220;-822;33;5086
5200;88;302;1012;6;-6;-23;-238;-179;-857;33;5186
5300;44;412;994;147;-33;-63;-248;-189;-832;33;5286
5400;-32;368;910;47;-12;-5;-214;-196;-839;33;5385
